production_tons,crop_variety,soil_type,irrigation_system,fertilizer_used,sensor_status,maintenance_date,is_organic,farm_id,sensor_id
4,Hass,Sandy,Sprinkler,Compost,Inactive,2024-06-01,Yes,1,1
10,Valery,Sandy,Sprinkler,Manure,Active,2024-06-04,No,2,2
8,Criollo,Clay,None,None,Active,2024-06-07,No,3,3
2,Caturra,Clay,Drip,NPK,Active,2024-06-10,Yes,4,4
10,Hass,Loam,Sprinkler,None,Faulty,2024-06-13,Yes,5,5
2,Tuxpeño,Silt,Drip,None,Inactive,2024-06-16,Yes,6,6
7,Criollo,Loam,Drip,Compost,Faulty,2024-06-19,No,7,7
10,Hass,Peaty,Sprinkler,Manure,Active,2024-06-22,Yes,8,8
15,Tuxpeño,Loam,Sprinkler,Manure,Inactive,2024-06-25,No,9,9
10,Valery,Clay,None,NPK,Active,2024-06-28,No,10,10
10,Tuxpeño,Loam,None,None,Inactive,2024-07-01,Yes,11,11
7,Caturra,Clay,None,NPK,Inactive,2024-07-04,Yes,12,12
9,Hass,Silt,None,Compost,Faulty,2024-07-07,No,13,13
10,Criollo,Peaty,Drip,Compost,Faulty,2024-07-10,No,14,14
12,Hass,Silt,Sprinkler,NPK,Inactive,2024-07-13,No,15,15
